timestamp,solar_wind_speed,solar_wind_density,magnetic_field,xray_flux,proton_flux,geomagnetic_index
2025-07-20T06:15:00Z,353.01,8.0,3.7,1.565e-07,2.22,1.6
2025-07-20T06:20:00Z,344.69,7.89,3.79,1.514e-07,2.3,1.3
2025-07-20T06:25:00Z,344.28,8.91,3.82,1.519e-07,2.13,1.6
2025-07-20T06:30:00Z,346.2,8.27,3.63,1.544e-07,1.91,1.2
2025-07-20T06:35:00Z,333.77,8.91,3.55,1.453e-07,2.18,0.7
2025-07-20T06:40:00Z,350.56,8.36,3.72,1.542e-07,2.21,0.5
2025-07-20T06:45:00Z,342.04,8.64,3.65,1.437e-07,1.88,1.2
2025-07-20T06:50:00Z,354.49,8.18,3.91,1.503e-07,1.69,1.1
2025-07-20T06:55:00Z,355.02,8.07,4.22,1.412e-07,1.53,1.2
2025-07-20T07:00:00Z,373.44,8.01,4.64,1.443e-07,1.86,1.1
2025-07-20T07:05:00Z,367.01,8.17,4.45,1.333e-07,1.62,0.4
2025-07-20T07:10:00Z,368.6,7.79,5.0,1.370e-07,1.74,1.0
2025-07-20T07:15:00Z,363.94,6.71,4.2,1.275e-07,1.63,0.9
2025-07-20T07:20:00Z,380.29,7.28,5.1,1.377e-07,1.32,0.9
2025-07-20T07:25:00Z,375.17,6.25,5.05,1.364e-07,1.39,0.9
2025-07-20T07:30:00Z,391.96,5.69,4.95,1.292e-07,1.22,1.5
2025-07-20T07:35:00Z,394.88,6.54,4.96,1.245e-07,1.18,0.7
2025-07-20T07:40:00Z,402.08,6.98,5.43,1.190e-07,1.65,1.7
2025-07-20T07:45:00Z,396.52,5.81,4.88,1.246e-07,1.0,1.1
2025-07-20T07:50:00Z,407.72,5.3,6.15,1.283e-07,0.88,0.8
2025-07-20T07:55:00Z,400.74,5.33,5.37,1.056e-07,1.04,1.8
2025-07-20T08:00:00Z,398.06,5.5,5.01,1.197e-07,0.99,1.9
2025-07-20T08:05:00Z,412.6,5.25,5.96,1.120e-07,0.72,1.4
2025-07-20T08:10:00Z,413.45,5.31,6.03,1.100e-07,1.03,1.9
2025-07-20T08:15:00Z,409.83,5.9,5.92,1.067e-07,1.39,1.5
2025-07-20T08:20:00Z,433.41,5.26,5.49,1.092e-07,0.76,1.1
2025-07-20T08:25:00Z,411.93,4.72,6.54,1.086e-07,0.77,1.3
2025-07-20T08:30:00Z,421.75,4.22,6.04,1.037e-07,0.79,1.4
2025-07-20T08:35:00Z,431.2,3.95,6.6,1.053e-07,0.79,1.8
2025-07-20T08:40:00Z,423.1,4.0,6.86,1.040e-07,0.4,1.8
2025-07-20T08:45:00Z,449.07,3.96,6.86,1.012e-07,0.74,2.1
2025-07-20T08:50:00Z,442.92,4.0,6.74,9.624e-08,0.91,1.9
2025-07-20T08:55:00Z,443.73,3.57,7.52,9.098e-08,0.82,1.7
2025-07-20T09:00:00Z,439.16,3.83,7.4,9.494e-08,0.83,2.0
2025-07-20T09:05:00Z,453.49,3.19,8.0,9.483e-08,0.7,2.2
2025-07-20T09:10:00Z,445.77,3.42,7.85,8.983e-08,0.6,1.8
2025-07-20T09:15:00Z,455.37,3.19,7.36,8.744e-08,0.18,2.5
2025-07-20T09:20:00Z,462.37,3.48,7.54,8.180e-08,0.51,1.7
2025-07-20T09:25:00Z,458.39,3.83,7.95,8.242e-08,0.56,2.6
2025-07-20T09:30:00Z,466.83,3.52,7.94,8.098e-08,0.55,3.0
2025-07-20T09:35:00Z,456.39,3.01,8.0,7.125e-08,0.58,2.2
2025-07-20T09:40:00Z,449.7,2.58,8.04,8.305e-08,0.24,2.2
2025-07-20T09:45:00Z,461.34,3.46,8.78,8.244e-08,0.5,2.4
2025-07-20T09:50:00Z,459.0,3.96,8.5,7.012e-08,0.72,2.8
2025-07-20T09:55:00Z,456.54,3.8,9.27,7.724e-08,0.44,3.2
2025-07-20T10:00:00Z,476.54,4.6,9.24,6.898e-08,1.26,2.7
2025-07-20T10:05:00Z,455.67,3.67,9.73,7.541e-08,0.23,3.2
2025-07-20T10:10:00Z,462.05,4.0,8.7,6.845e-08,0.43,3.2
2025-07-20T10:15:00Z,452.28,4.67,8.91,6.225e-08,0.38,3.7
2025-07-20T10:20:00Z,450.38,5.63,9.58,6.396e-08,0.38,3.4
2025-07-20T10:25:00Z,443.82,5.82,9.07,7.212e-08,0.85,3.4
2025-07-20T10:30:00Z,443.31,4.67,9.7,7.208e-08,0.59,3.1
2025-07-20T10:35:00Z,449.43,4.66,8.75,6.327e-08,0.31,3.7
2025-07-20T10:40:00Z,462.23,6.12,9.47,6.353e-08,0.76,3.9
2025-07-20T10:45:00Z,440.71,5.32,10.64,6.449e-08,0.55,3.7
2025-07-20T10:50:00Z,445.89,5.09,9.71,5.843e-08,0.62,4.3
2025-07-20T10:55:00Z,444.19,5.76,9.49,6.199e-08,0.91,3.6
2025-07-20T11:00:00Z,446.7,5.32,9.79,7.162e-08,0.33,4.2
2025-07-20T11:05:00Z,416.96,6.17,9.87,6.644e-08,0.14,3.3
2025-07-20T11:10:00Z,423.79,6.44,9.61,6.070e-08,0.57,3.8
2025-07-20T11:15:00Z,417.95,6.75,10.22,6.851e-08,0.71,3.8
2025-07-20T11:20:00Z,421.41,6.68,9.97,5.315e-08,0.95,3.7
2025-07-20T11:25:00Z,409.58,6.23,10.46,5.993e-08,1.15,4.0
2025-07-20T11:30:00Z,399.75,6.67,10.3,5.655e-08,0.75,3.9
2025-07-20T11:35:00Z,408.03,6.88,9.86,5.779e-08,0.49,4.1
2025-07-20T11:40:00Z,398.99,8.21,9.51,5.216e-08,1.29,3.5
2025-07-20T11:45:00Z,396.4,8.01,9.81,5.173e-08,1.14,3.9
2025-07-20T11:50:00Z,407.76,8.15,11.12,5.178e-08,1.14,3.7
2025-07-20T11:55:00Z,402.74,8.4,10.17,5.620e-08,1.05,3.4
2025-07-20T12:00:00Z,403.22,8.36,9.72,6.490e-08,1.4,4.3
2025-07-20T12:05:00Z,372.64,7.86,9.85,6.222e-08,1.49,3.7
2025-07-20T12:10:00Z,382.8,9.41,9.98,6.507e-08,1.35,4.2
2025-07-20T12:15:00Z,392.44,8.43,10.13,5.668e-08,1.53,4.2
2025-07-20T12:20:00Z,368.33,8.98,9.29,5.743e-08,1.47,4.5
2025-07-20T12:25:00Z,373.26,8.94,9.19,6.232e-08,1.29,3.7
2025-07-20T12:30:00Z,374.04,8.48,9.98,6.145e-08,1.54,4.2
2025-07-20T12:35:00Z,358.89,7.74,9.82,6.513e-08,1.21,3.8
2025-07-20T12:40:00Z,357.73,9.36,8.91,6.082e-08,1.52,3.4
2025-07-20T12:45:00Z,352.4,7.74,8.69,5.642e-08,1.46,3.2
2025-07-20T12:50:00Z,351.08,8.07,8.5,6.763e-08,1.81,3.5
2025-07-20T12:55:00Z,348.97,9.14,8.97,6.846e-08,1.36,3.4
2025-07-20T13:00:00Z,332.96,8.06,8.9,6.362e-08,2.04,3.2
2025-07-20T13:05:00Z,352.8,7.4,8.53,7.006e-08,2.1,3.4
2025-07-20T13:10:00Z,361.81,7.86,8.32,5.519e-08,2.41,3.3
2025-07-20T13:15:00Z,335.23,8.6,8.87,7.061e-08,1.83,3.5
2025-07-20T13:20:00Z,338.25,7.21,8.65,6.054e-08,2.29,3.4
2025-07-20T13:25:00Z,358.46,7.81,7.27,6.821e-08,2.25,3.3
2025-07-20T13:30:00Z,348.99,6.51,7.83,7.848e-08,2.6,3.7
2025-07-20T13:35:00Z,337.38,7.86,8.5,8.092e-08,2.5,3.3
2025-07-20T13:40:00Z,333.8,6.41,8.06,7.454e-08,2.4,2.8
2025-07-20T13:45:00Z,336.86,7.06,7.11,7.801e-08,2.52,2.9
2025-07-20T13:50:00Z,334.2,7.14,8.12,7.610e-08,2.77,3.1
2025-07-20T13:55:00Z,319.34,6.17,6.97,8.450e-08,2.62,2.9
2025-07-20T14:00:00Z,346.34,5.89,6.78,7.601e-08,2.6,2.6
2025-07-20T14:05:00Z,343.56,5.77,7.29,8.828e-08,3.0,2.8
2025-07-20T14:10:00Z,344.87,6.26,7.02,8.205e-08,3.0,3.0
2025-07-20T14:15:00Z,360.66,5.74,6.76,8.904e-08,2.79,2.6
2025-07-20T14:20:00Z,345.57,5.42,7.18,8.947e-08,2.86,2.6
2025-07-20T14:25:00Z,349.67,5.46,6.3,8.427e-08,2.89,1.9
2025-07-20T14:30:00Z,352.31,4.52,6.55,9.587e-08,3.0,2.1
2025-07-20T14:35:00Z,356.34,3.94,5.6,9.317e-08,3.05,2.0
2025-07-20T14:40:00Z,347.56,4.8,5.72,9.038e-08,3.1,1.9
2025-07-20T14:45:00Z,367.96,4.89,6.06,9.918e-08,2.9,1.6
2025-07-20T14:50:00Z,349.59,5.84,5.2,9.839e-08,3.04,1.7
2025-07-20T14:55:00Z,359.83,3.31,5.1,9.437e-08,3.13,1.5
2025-07-20T15:00:00Z,362.31,4.21,5.13,1.079e-07,3.11,1.8
2025-07-20T15:05:00Z,360.65,4.3,5.08,1.072e-07,3.29,1.6
2025-07-20T15:10:00Z,376.56,3.66,5.66,1.118e-07,3.36,1.2
2025-07-20T15:15:00Z,369.71,3.43,4.91,1.113e-07,3.11,1.8
2025-07-20T15:20:00Z,382.31,2.67,4.71,9.812e-08,3.17,1.3
2025-07-20T15:25:00Z,381.26,3.44,4.64,1.101e-07,3.65,1.7
2025-07-20T15:30:00Z,380.93,4.18,4.05,1.109e-07,3.68,0.6
2025-07-20T15:35:00Z,398.63,2.89,4.55,1.161e-07,3.74,1.0
2025-07-20T15:40:00Z,397.47,3.82,4.42,1.149e-07,3.41,1.3
2025-07-20T15:45:00Z,409.09,3.03,4.26,1.226e-07,3.4,1.1
2025-07-20T15:50:00Z,405.87,3.17,4.04,1.252e-07,3.23,1.5
2025-07-20T15:55:00Z,411.71,2.92,4.41,1.258e-07,3.62,1.5
2025-07-20T16:00:00Z,410.96,3.25,3.99,1.221e-07,3.33,1.2
2025-07-20T16:05:00Z,417.87,3.43,3.88,1.307e-07,3.39,0.7
2025-07-20T16:10:00Z,420.31,3.63,3.7,1.351e-07,3.66,1.0
2025-07-20T16:15:00Z,426.26,4.12,4.08,1.374e-07,3.83,1.0
2025-07-20T16:20:00Z,432.3,4.41,3.92,1.292e-07,3.68,0.5
2025-07-20T16:25:00Z,446.54,4.54,4.11,1.370e-07,3.85,0.7
2025-07-20T16:30:00Z,426.24,3.94,3.91,1.337e-07,3.53,1.0
2025-07-20T16:35:00Z,432.16,5.2,3.45,1.342e-07,3.57,0.9
